PAIS;DEPARTAMENTO;MUNICIPIO;TIPO;NOMBRE
COLOMBIA;AMAZONAS;LETICIA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL DE LETICIA
COLOMBIA;AMAZONAS;PUERTO ALEGRIA;ESTATAL-RURAL;BIBLIOTECA P⁄BLICA DE PUERTO ALEGRIA
COLOMBIA;AMAZONAS;PUERTO NARI—O;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL POPERAPATA
COLOMBIA;ANTIOQUIA;ABEJORRAL;ESTATAL-MUNICIPAL;"BIBLIOTECA P⁄BLICA MUNICIPAL DE ABEJORRAL ""JAIME ARANGO VELASQUEZ"""
COLOMBIA;ANTIOQUIA;ABRIAQUI;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL DAVID CASTRO L”PEZ
COLOMBIA;ANTIOQUIA;ALEJANDRIA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA ALEJANDRO OSORIO CASA DE LA CULTURA
COLOMBIA;ANTIOQUIA;AMAGA;ESTATAL-MUNICIPAL;"BIBLIOTECA PŸBLICA  MUNICIPAL ""EMIRO KASTOS"""
COLOMBIA;ANTIOQUIA;AMALFI;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL DE AMALFI
COLOMBIA;ANTIOQUIA;ANDES;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA GONZALO ARANGO ARIAS
COLOMBIA;ANTIOQUIA;ANGELOPOLIS;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL ERNESTO BETANCUR
COLOMBIA;ANTIOQUIA;ANGOSTURA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL CIPRIANO CARDENAS
COLOMBIA;ANTIOQUIA;ANORI;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA LE”N ZAFIR
COLOMBIA;ANTIOQUIA;ANZA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL LUIS MARIA LOPERA
COLOMBIA;ANTIOQUIA;APARTADO;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL FEDERICO GARCIA LORCA
COLOMBIA;ANTIOQUIA;ARBOLETES;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA ALBERTO JARAMILLO SANCHEZ
COLOMBIA;ANTIOQUIA;ARGELIA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MANUEL JOSE CONTRERAS
COLOMBIA;ANTIOQUIA;ARMENIA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL DEL MUNICIPIO DE ARMENIA 
COLOMBIA;ANTIOQUIA;BARBOSA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA ISOLDA ECHAVARRÕA
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL ESTACI”N PRIMERA
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL EL CARMELO
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL LA ESMERALDA
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL SANTA ANA
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL HERMOSA PROVINCIA
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL EL CAIRO
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL EL ROSARIO
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MARCO FIDEL SU¡REZ
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL SANTA RITA
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;"BIBLIOTECA COMUNAL UNICAF
"
COLOMBIA;ANTIOQUIA;BELLO;ESTATAL-MUNICIPAL;BIBLIOTECA COMUNAL ACEVEDO
COLOMBIA;ANTIOQUIA;BELMIRA;ESTATAL-MUNICIPAL;"BIBLIOTECA P⁄BLICA MUNICIPAL ""NORBERTO ARIAS BARRIENTOS"""
COLOMBIA;ANTIOQUIA;BETANIA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MANUEL FELIPE OCHOA
COLOMBIA;ANTIOQUIA;BETULIA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL DE BETULIA
COLOMBIA;ANTIOQUIA;BRICE—O;ESTATAL-RURAL;BIBLIOTECA P⁄BLICA MUNICIPAL VEREDA PUEBLO NUEVO
COLOMBIA;ANTIOQUIA;BRICE—O;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA ANTONIO ROLDAN BETANCUR
COLOMBIA;ANTIOQUIA;BURITICA;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICA MUNICIPAL DE BURITICA
COLOMBIA;ANTIOQUIA;BURITICA;ESTATAL-RURAL;BIBLIOTECA P⁄BLICA DEL CORREGIMIENTO DE TABACAL
COLOMBIA;ANTIOQUIA;CACERES;ESTATAL-MUNICIPAL;BIBLIOTECA P⁄BLICO ESCOLAR MONSE—OR GERARDO PATI—O
